tower,damping_ratio,mean_r2_damage,mean_r2_del,weight_exponent
ref,0.005,0.5964282237533538,0.7079821941192976,0.0
ref,0.005,0.5896158510438281,0.7231423476975674,0.16666666666666666
ref,0.005,0.553101389064005,0.731692215214763,0.3333333333333333
ref,0.005,0.49129934901242217,0.7099562761246765,0.5
ref,0.005,0.40930476383202585,0.6386526402490798,0.6666666666666666
ref,0.01,0.596428025613772,0.7079816272293695,0.0
ref,0.01,0.5896156062894522,0.7231417704407739,0.16666666666666666
ref,0.01,0.5531006840477437,0.7316916091769851,0.3333333333333333
ref,0.01,0.49129702738185177,0.7099553287145997,0.5
ref,0.01,0.4093062220582455,0.6386540248919471,0.6666666666666666
ref,0.02,0.5964272329892708,0.7079793595316183,0.0
ref,0.02,0.5896146271966216,0.7231394612575133,0.16666666666666666
ref,0.02,0.5530978638042306,0.7316891847837986,0.3333333333333333
ref,0.02,0.4912877403293685,0.7099515381908797,0.5
ref,0.02,0.40931204756810363,0.6386595584318117,0.6666666666666666
ref,0.05,0.5964216816647661,0.7079634795049768,0.0
ref,0.05,0.5896077701868111,0.7231232900256882,0.16666666666666666
ref,0.05,0.5530781141487118,0.7316722032398374,0.3333333333333333
ref,0.05,0.49122270735025975,0.7099249650787152,0.5
ref,0.05,0.40935249571593946,0.6386980683609901,0.6666666666666666
ref,0.1,0.596401813975614,0.7079066797410019,0.0
ref,0.1,0.5895832336954875,0.723065438825111,0.16666666666666666
ref,0.1,0.5530111551703566,0.731610654910262,0.3333333333333333
ref,0.1,0.4909983930659431,0.7098318000769274,0.5
ref,0.1,0.409492282650957,0.6388324237226091,0.6666666666666666
ref,0.2,0.596321733785582,0.7076782879324278,0.0
ref,0.2,0.589484400583284,0.7228326691785217,0.16666666666666666
ref,0.2,0.552747632982467,0.731361414333452,0.3333333333333333
ref,0.2,0.49009940801592183,0.7094520124312562,0.5
ref,0.2,0.4099814335297284,0.6393220861554542,0.6666666666666666
opt1,0.005,0.7183136851477753,0.7780299394589195,0.0
opt1,0.005,0.714551853721819,0.7868597203159872,0.16666666666666666
opt1,0.005,0.6943737326031966,0.793149533148415,0.3333333333333333
opt1,0.005,0.650392897727295,0.7772083904135758,0.5
opt1,0.005,0.5364458422749793,0.6976057855933885,0.6666666666666666
opt1,0.01,0.7183136020973494,0.77802973248842,0.0
opt1,0.01,0.714551756559803,0.786859534468506,0.16666666666666666
opt1,0.01,0.6943735203781286,0.7931493654236083,0.3333333333333333
opt1,0.01,0.6503924549048478,0.7772082009778402,0.5
opt1,0.01,0.5364464021810721,0.6976061905376097,0.6666666666666666
opt1,0.02,0.7183132698929519,0.7780289046106732,0.0
opt1,0.02,0.7145513679092131,0.7868587910812004,0.16666666666666666
opt1,0.02,0.694372671475801,0.7931486945211671,0.3333333333333333
opt1,0.02,0.6503906835594695,0.7772074431875875,0.5
opt1,0.02,0.5364486413260247,0.6976078099963465,0.6666666666666666
opt1,0.05,0.7183109443416631,0.7780231096574011,0.0
opt1,0.05,0.7145486472421289,0.786853587487839,0.16666666666666666
opt1,0.05,0.6943667290679159,0.7931439980606139,0.3333333333333333
opt1,0.05,0.6503782816542947,0.7772021365383538,0.5
opt1,0.05,0.5364642938766657,0.6976191319637246,0.6666666666666666
opt1,0.1,0.718302637089916,0.778002416152877,0.0
opt1,0.1,0.714538928972283,0.7868350049359597,0.16666666666666666
opt1,0.1,0.6943455049022185,0.7931272229700258,0.3333333333333333
opt1,0.1,0.6503339537617915,0.7771831540808702,0.5
opt1,0.1,0.5365198900054337,0.6976593646048779,0.6666666666666666
opt1,0.2,0.7182693819679087,0.7779196870154442,0.0
opt1,0.2,0.7145000316070308,0.7867607031466038,0.16666666666666666
opt1,0.2,0.6942605899679763,0.7930600930848495,0.3333333333333333
opt1,0.2,0.6501560994947748,0.7771067601820794,0.5
opt1,0.2,0.5367375447855292,0.6978171565314867,0.6666666666666666
opt2,0.005,0.7371606078126792,0.7876959775230792,0.0
opt2,0.005,0.7338011256538535,0.7961899250673639,0.16666666666666666
opt2,0.005,0.7157777582243343,0.8024011924517551,0.3333333333333333
opt2,0.005,0.6734084202418411,0.7875249768957296,0.5
opt2,0.005,0.5638484816037096,0.7094471252240473,0.6666666666666666
opt2,0.01,0.7371605125444919,0.7876957396692555,0.0
opt2,0.01,0.7338010147715296,0.7961897116803218,0.16666666666666666
opt2,0.01,0.7157775110805656,0.8024010059151151,0.3333333333333333
opt2,0.01,0.6734080035889382,0.7875247861138628,0.5
opt2,0.01,0.5638488562466276,0.7094475078659475,0.6666666666666666
opt2,0.02,0.7371601314678078,0.7876947882580585,0.0
opt2,0.02,0.733800571238429,0.7961888581342094,0.16666666666666666
opt2,0.02,0.7157765225016882,0.8024002597587608,0.3333333333333333
opt2,0.02,0.6734063368927165,0.7875240229249962,0.5
opt2,0.02,0.56385035429287,0.7094490380438212,0.6666666666666666
opt2,0.05,0.7371574637550361,0.7876881285640721,0.0
opt2,0.05,0.733797466336592,0.7961828834043716,0.16666666666666666
opt2,0.05,0.7157696022799688,0.8023950362265259,0.3333333333333333
opt2,0.05,0.6733946662330383,0.7875186778551385,0.5
opt2,0.05,0.5638608170952609,0.7094597318422003,0.6666666666666666
opt2,0.1,0.7371479337113841,0.787664346624536,0.0
opt2,0.1,0.7337863749898986,0.7961615464561809,0.16666666666666666
opt2,0.1,0.7157448848244164,0.8023763745593375,0.3333333333333333
opt2,0.1,0.6733529314717855,0.7874995492298802,0.5
opt2,0.1,0.5638978492538519,0.7094976754845611,0.6666666666666666
opt2,0.2,0.7371097754945739,0.7875692637024051,0.0
opt2,0.2,0.7337419730896956,0.7960762228695432,0.16666666666666666
opt2,0.2,0.7156459805948522,0.8023016347153888,0.3333333333333333
opt2,0.2,0.6731851669364991,0.787422434083316,0.5
opt2,0.2,0.5640408070329873,0.7096456133380363,0.6666666666666666
