action_value,mean_damage_ratio,mean_power_w,mean_thrust_n,action
0.0,1.1186442,14931039.0,1431736.4,action_pitch_offset_deg
2.0,1.0063808,11235710.0,1124678.1,action_pitch_offset_deg
4.0,0.95793056,7160283.5,805396.7,action_pitch_offset_deg
6.0,0.93484324,3765143.2,501817.6,action_pitch_offset_deg
8.0,0.9217738,2277097.8,322306.94,action_pitch_offset_deg
-30.0,1.0031027,6827634.5,719064.0,action_yaw_error_deg
-15.0,0.9978184,8383145.5,894527.8,action_yaw_error_deg
0.0,0.9377303,8947715.0,958752.0,action_yaw_error_deg
15.0,0.9978184,8383145.5,894527.8,action_yaw_error_deg
30.0,1.0031027,6827634.5,719064.0,action_yaw_error_deg
0.0,1.050655,7873855.0,837187.1,action_ipc_level
0.5,0.9743117,7873855.0,837187.1,action_ipc_level
1.0,0.93877685,7873855.0,837187.1,action_ipc_level
