tower,sim_id,wind_speed_id,wave_hs_id,wave_tp_id,wind_seed_id,mean_wind_speed,std_wind_speed,wave_hs,wave_tp,damage_weight,action_pitch_offset_deg,action_yaw_error_deg,action_ipc_level,damage_max,damage_base_section,damage_top_section,damage_mean_section,damage_max_section_id,damage_ratio_max,controllable_share_max,power_w,power_baseline_w,thrust_n,thrust_baseline_n,ct_ratio,cp_ratio
ref,1,1,1,1,1,3.3512058,1.383558,0.7768452,6.6568193,184.44374,0.0,-30.0,0.0,2.495095e-07,2.495095e-07,1.3402466e-08,1.5165521e-07,1,1.0489876,0.03884869,556977.25,729927.7,273425.47,364567.28,0.75,0.76305807
ref,2,1,1,2,1,3.3512058,1.383558,0.7768452,7.393875,184.44374,0.0,-30.0,0.0,2.558549e-07,2.558549e-07,1.2872292e-08,1.5643599e-07,1,1.0559529,0.04437236,556977.25,729927.7,273425.47,364567.28,0.75,0.76305807
ref,3,1,1,3,1,3.3512058,1.383558,0.7768452,7.9978156,184.44374,0.0,-30.0,0.0,2.1145551e-07,2.1145551e-07,1.3547462e-08,1.3246375e-07,1,1.0605699,0.04803377,556977.25,729927.7,273425.47,364567.28,0.75,0.76305807
ref,4,1,1,4,1,3.3512058,1.383558,0.7768452,8.580277,184.44374,0.0,-30.0,0.0,2.661677e-07,2.661677e-07,1.3448321e-08,1.5625425e-07,1,1.0689994,0.05471863,556977.25,729927.7,273425.47,364567.28,0.75,0.76305807
ref,5,1,1,5,1,3.3512058,1.383558,0.7768452,9.205103,184.44374,0.0,-30.0,0.0,2.517062e-07,2.517062e-07,1.3685184e-08,1.570051e-07,1,1.0836909,0.066369355,556977.25,729927.7,273425.47,364567.28,0.75,0.76305807
ref,6,1,1,6,1,3.3512058,1.383558,0.7768452,9.956741,184.44374,0.0,-30.0,0.0,2.1725738e-07,2.1725738e-07,1.2957279e-08,1.3339256e-07,1,1.101527,0.08051397,556977.25,729927.7,273425.47,364567.28,0.75,0.76305807
ref,7,1,1,7,1,3.3512058,1.383558,0.7768452,11.058464,184.44374,0.0,-30.0,0.0,2.8261104e-07,2.8261104e-07,1.2751243e-08,1.6494862e-07,1,1.1274523,0.10107347,556977.25,729927.7,273425.47,364567.28,0.75,0.76305807
ref,8,1,2,1,1,3.3512058,1.383558,0.98856467,6.960857,184.44374,0.0,-30.0,0.0,3.6463402e-07,3.6463402e-07,1.34561695e-08,2.2124648e-07,1,1.0258118,0.020469565,556977.25,729927.7,273425.47,364567.28,0.75,0.76305807
ref,9,1,2,2,1,3.3512058,1.383558,0.98856467,7.7128434,184.44374,0.0,-30.0,0.0,2.7578264e-07,2.7578264e-07,1.4746722e-08,1.7006012e-07,1,1.0290827,0.023063425,556977.25,729927.7,273425.47,364567.28,0.75,0.76305807
ref,10,1,2,3,1,3.3512058,1.383558,0.98856467,8.327732,184.44374,0.0,-30.0,0.0,3.0233278e-07,3.0233278e-07,1.3494363e-08,1.8344215e-07,1,1.0321714,0.025512844,556977.25,729927.7,273425.47,364567.28,0.75,0.76305807
ref,11,1,2,4,1,3.3512058,1.383558,0.98856467,8.919738,184.44374,0.0,-30.0,0.0,3.0420378e-07,3.0420378e-07,1.3491352e-08,1.8213187e-07,1,1.0384829,0.030518115,556977.25,729927.7,273425.47,364567.28,0.75,0.76305807
ref,12,1,2,5,1,3.3512058,1.383558,0.98856467,9.553771,184.44374,0.0,-30.0,0.0,2.4488094e-07,2.4488094e-07,1.306516e-08,1.4734934e-07,1,1.0464264,0.03681753,556977.25,729927.7,273425.47,364567.28,0.75,0.76305807
