pitch_deg,tsr,cp,ct,cq
-5,2,0.004183,0.060734,0.002104
-2.368,2,0.008552,0.059861,0.004301
0.2632,2,0.013076,0.059261,0.006577
2.895,2,0.017954,0.05928,0.00903
5.526,2,0.023246,0.059906,0.011692
8.158,2,0.028797,0.060955,0.014483
10.79,2,0.034398,0.062277,0.017301
13.42,2,0.040294,0.064157,0.020266
16.05,2,0.047129,0.06724,0.023704
18.68,2,0.053808,0.070576,0.027063
21.32,2,0.057993,0.07199,0.029168
23.95,2,0.058951,0.070735,0.02965
26.58,2,0.056907,0.06684,0.028622
29.21,2,0.05236,0.060702,0.026335
31.84,2,0.045879,0.052869,0.023075
34.47,2,0.038003,0.043823,0.019114
37.11,2,0.029036,0.03383,0.014604
39.74,2,0.019157,0.023082,0.009635
42.37,2,0.008446,0.011743,0.004248
45,2,-0.002755,0.00025,-0.001385
-5,2.632,0.014528,0.082242,0.005553
-2.368,2.632,0.023851,0.083694,0.009117
0.2632,2.632,0.033841,0.086167,0.012935
2.895,2.632,0.044146,0.08927,0.016874
5.526,2.632,0.054123,0.092499,0.020688
8.158,2.632,0.065155,0.097188,0.024905
10.79,2.632,0.078342,0.104489,0.029946
13.42,2.632,0.088804,0.110101,0.033945
16.05,2.632,0.092608,0.110301,0.035399
18.68,2.632,0.090398,0.105236,0.034554
21.32,2.632,0.083572,0.095911,0.031945
23.95,2.632,0.073569,0.083785,0.028121
26.58,2.632,0.061407,0.069829,0.023472
29.21,2.632,0.047713,0.054598,0.018238
31.84,2.632,0.032764,0.038347,0.012524
34.47,2.632,0.016578,0.021206,0.006337
37.11,2.632,-0.000877,0.003314,-0.000335
39.74,2.632,-0.018725,-0.014314,-0.007158
42.37,2.632,-0.033888,-0.028621,-0.012954
45,2.632,-0.0445,-0.037858,-0.01701
-5,3.263,0.035083,0.11673,0.010815
-2.368,3.263,0.052168,0.12234,0.016081
0.2632,3.263,0.068563,0.127912,0.021135
2.895,3.263,0.085329,0.13456,0.026304
5.526,3.263,0.106367,0.145959,0.032789
8.158,3.263,0.126719,0.158289,0.039063
10.79,3.263,0.134796,0.160796,0.041553
13.42,3.263,0.131887,0.153648,0.040655
16.05,3.263,0.121585,0.139474,0.03748
18.68,3.263,0.106602,0.121113,0.032861
21.32,3.263,0.088719,0.100398,0.027349
23.95,3.263,0.068791,0.078094,0.021206
26.58,3.263,0.047244,0.054591,0.014564
29.21,3.263,0.02409,0.030022,0.007426
31.84,3.263,-0.000932,0.0044,-0.000287
34.47,3.263,-0.027634,-0.021811,-0.008518
37.11,3.263,-0.052318,-0.044874,-0.016128
39.74,3.263,-0.069329,-0.059424,-0.021371
42.37,3.263,-0.080611,-0.067532,-0.024849
45,3.263,-0.089918,-0.073059,-0.027718
-5,3.895,0.067497,0.165763,0.017433
-2.368,3.895,0.092129,0.174396,0.023794
0.2632,3.895,0.118436,0.185546,0.030589
2.895,3.895,0.152867,0.205823,0.039481
5.526,3.895,0.179485,0.221912,0.046356
8.158,3.895,0.184226,0.219656,0.047581
10.79,3.895,0.174698,0.204048,0.04512
13.42,3.895,0.156824,0.180376,0.040503
16.05,3.895,0.134064,0.152611,0.034625
18.68,3.895,0.108187,0.122588,0.027942
21.32,3.895,0.079927,0.090972,0.020643
23.95,3.895,0.049652,0.058103,0.012824
26.58,3.895,0.017175,0.024034,0.004436
29.21,3.895,-0.018082,-0.01137,-0.00467
31.84,3.895,-0.055707,-0.047263,-0.014388
34.47,3.895,-0.088857,-0.076944,-0.022949
37.11,3.895,-0.109352,-0.092859,-0.028243
39.74,3.895,-0.123217,-0.101163,-0.031824
42.37,3.895,-0.135333,-0.106919,-0.034953
45,3.895,-0.145575,-0.109138,-0.037598
-5,4.526,0.109296,0.227261,0.024289
-2.368,4.526,0.146828,0.2427,0.03263
0.2632,4.526,0.196926,0.272513,0.043764
2.895,4.526,0.234101,0.295294,0.052025
5.526,4.526,0.238344,0.289627,0.052968
8.158,4.526,0.224125,0.266249,0.049808
10.79,4.526,0.199908,0.23305,0.044427
13.42,4.526,0.169919,0.195296,0.037762
16.05,4.526,0.136059,0.155107,0.030237
18.68,4.526,0.099086,0.113183,0.02202
21.32,4.526,0.059484,0.069904,0.01322
23.95,4.526,0.016949,0.025236,0.003767
26.58,4.526,-0.029396,-0.021044,-0.006533
29.21,4.526,-0.079729,-0.068414,-0.017719
31.84,4.526,-0.125829,-0.108797,-0.027964
34.47,4.526,-0.15407,-0.129794,-0.03424
37.11,4.526,-0.171841,-0.139063,-0.038189
39.74,4.526,-0.18844,-0.146045,-0.041878
42.37,4.526,-0.20209,-0.148219,-0.044911
45,4.526,-0.21845,-0.147827,-0.048547
-5,5.158,0.163377,0.304042,0.031862
-2.368,5.158,0.228953,0.341025,0.044651
0.2632,5.158,0.285997,0.37752,0.055776
2.895,5.158,0.296203,0.372926,0.057766
5.526,5.158,0.2808,0.343772,0.054762
8.158,5.158,0.252396,0.301463,0.049223
10.79,5.158,0.216375,0.253183,0.042198
13.42,5.158,0.175204,0.202127,0.034169
16.05,5.158,0.129721,0.149036,0.025298
18.68,5.158,0.080591,0.094351,0.015717
21.32,5.158,0.027761,0.038127,0.005414
23.95,5.158,-0.029928,-0.01995,-0.005837
26.58,5.158,-0.093612,-0.079983,-0.018256
29.21,5.158,-0.157541,-0.135882,-0.030724
31.84,5.158,-0.201469,-0.169256,-0.039291
34.47,5.158,-0.225214,-0.181079,-0.043922
37.11,5.158,-0.247672,-0.189941,-0.048302
39.74,5.158,-0.266413,-0.193388,-0.051956
42.37,5.158,-0.286681,-0.192972,-0.055909
45,5.158,-0.31143,-0.188549,-0.060736
-5,5.789,0.239912,0.408343,0.041684
-2.368,5.789,0.324864,0.463937,0.056444
0.2632,5.789,0.352474,0.469175,0.061241
2.895,5.789,0.342011,0.438187,0.059423
5.526,5.789,0.31318,0.388419,0.054414
8.158,5.789,0.273733,0.329699,0.04756
10.79,5.789,0.226976,0.267276,0.039436
13.42,5.789,0.174102,0.202365,0.03025
16.05,5.789,0.115954,0.135459,0.020147
18.68,5.789,0.053053,0.066802,0.009218
21.32,5.789,-0.015678,-0.003888,-0.002724
23.95,5.789,-0.091943,-0.076971,-0.015975
26.58,5.789,-0.174928,-0.150446,-0.030393
29.21,5.789,-0.244852,-0.205982,-0.042542
31.84,5.789,-0.282403,-0.227504,-0.049067
34.47,5.789,-0.310236,-0.237342,-0.053903
37.11,5.789,-0.33744,-0.244471,-0.058629
39.74,5.789,-0.361077,-0.244101,-0.062736
42.37,5.789,-0.393459,-0.241503,-0.068362
45,5.789,-0.426107,-0.231957,-0.074035
-5,6.421,0.3336,0.545081,0.052261
-2.368,6.421,0.395237,0.574008,0.061917
0.2632,6.421,0.400481,0.548629,0.062738
2.895,6.421,0.377508,0.495016,0.059139
5.526,6.421,0.339368,0.427267,0.053165
8.158,6.421,0.290473,0.353489,0.045505
10.79,6.421,0.232755,0.276464,0.036463
13.42,6.421,0.167308,0.196822,0.02621
16.05,6.421,0.09518,0.114976,0.014911
18.68,6.421,0.016217,0.030928,0.00254
21.32,6.421,-0.071529,-0.05575,-0.011206
23.95,6.421,-0.170062,-0.145258,-0.026641
26.58,6.421,-0.270275,-0.228042,-0.04234
29.21,6.421,-0.338551,-0.274923,-0.053036
31.84,6.421,-0.374587,-0.288292,-0.058682
34.47,6.421,-0.411011,-0.299001,-0.064388
37.11,6.421,-0.442593,-0.302045,-0.069335
39.74,6.421,-0.477339,-0.29973,-0.074779
42.37,6.421,-0.524911,-0.293731,-0.082231
45,6.421,-0.565339,-0.278588,-0.088564
-5,7.053,0.40244,0.676776,0.057399
-2.368,7.053,0.440975,0.669967,0.062895
0.2632,7.053,0.435173,0.619499,0.062068
2.895,7.053,0.406148,0.546531,0.057928
5.526,7.053,0.361342,0.462685,0.051538
8.158,7.053,0.303497,0.373845,0.043287
10.79,7.053,0.23429,0.28142,0.033416
13.42,7.053,0.155195,0.185984,0.022135
16.05,7.053,0.067363,0.087929,0.009608
18.68,7.053,-0.03037,-0.012948,-0.004332
21.32,7.053,-0.140598,-0.117117,-0.020053
23.95,7.053,-0.264045,-0.223158,-0.03766
26.58,7.053,-0.376585,-0.308858,-0.053712
29.21,7.053,-0.440727,-0.343983,-0.06286
31.84,7.053,-0.48277,-0.354952,-0.068857
34.47,7.053,-0.527917,-0.364933,-0.075296
37.11,7.053,-0.566739,-0.363861,-0.080833
39.74,7.053,-0.618765,-0.360658,-0.088253
42.37,7.053,-0.68247,-0.349462,-0.09734
45,7.053,-0.732169,-0.327732,-0.104428
-5,7.684,0.432644,0.789204,0.056635
-2.368,7.684,0.465056,0.754856,0.060878
0.2632,7.684,0.459322,0.684376,0.060128
2.895,7.684,0.429497,0.594842,0.056223
5.526,7.684,0.379883,0.495775,0.049729
8.158,7.684,0.313246,0.391305,0.041006
10.79,7.684,0.231892,0.282533,0.030356
13.42,7.684,0.137909,0.170164,0.018053
16.05,7.684,0.032249,0.054579,0.004222
18.68,7.684,-0.087249,-0.064553,-0.011421
21.32,7.684,-0.223737,-0.187673,-0.029288
23.95,7.684,-0.372811,-0.30847,-0.048803
26.58,7.684,-0.492396,-0.390846,-0.064457
29.21,7.684,-0.554948,-0.415665,-0.072646
31.84,7.684,-0.608268,-0.427424,-0.079626
34.47,7.684,-0.662234,-0.434826,-0.08669
37.11,7.684,-0.713574,-0.431112,-0.093411
39.74,7.684,-0.7876,-0.4265,-0.103101
42.37,7.684,-0.867515,-0.408585,-0.113562
45,7.684,-0.929642,-0.378658,-0.121695
-5,8.316,0.42271,0.884948,0.051132
-2.368,8.316,0.465336,0.829208,0.056288
0.2632,8.316,0.473606,0.744815,0.057289
2.895,8.316,0.448041,0.64108,0.054197
5.526,8.316,0.395244,0.526972,0.04781
8.158,8.316,0.31995,0.406175,0.038702
10.79,8.316,0.225727,0.280069,0.027305
13.42,8.316,0.115425,0.149597,0.013962
16.05,8.316,-0.010492,0.015151,-0.001269
18.68,8.316,-0.155017,-0.123651,-0.018751
21.32,8.316,-0.321542,-0.266868,-0.038895
23.95,8.316,-0.495464,-0.399414,-0.059933
26.58,8.316,-0.618709,-0.474315,-0.074841
29.21,8.316,-0.684596,-0.492118,-0.082811
31.84,8.316,-0.751969,-0.505231,-0.090961
34.47,8.316,-0.816482,-0.509359,-0.098764
37.11,8.316,-0.886063,-0.504325,-0.107181
39.74,8.316,-0.98563,-0.496794,-0.119225
42.37,8.316,-1.08221,-0.471036,-0.130908
45,8.316,-1.161646,-0.430879,-0.140516
-5,8.947,0.396284,0.973526,0.044552
-2.368,8.947,0.443496,0.894275,0.04986
0.2632,8.947,0.476394,0.801033,0.053558
2.895,8.947,0.461471,0.685541,0.051881
5.526,8.947,0.407453,0.556467,0.045808
8.158,8.947,0.323743,0.418669,0.036397
10.79,8.947,0.21587,0.274227,0.024269
13.42,8.947,0.087597,0.124471,0.009848
16.05,8.947,-0.061232,-0.030165,-0.006884
18.68,8.947,-0.234314,-0.190047,-0.026343
21.32,8.947,-0.434191,-0.35385,-0.048814
23.95,8.947,-0.631316,-0.494592,-0.070976
26.58,8.947,-0.757268,-0.560174,-0.085136
29.21,8.947,-0.831922,-0.5743,-0.093529
31.84,8.947,-0.915179,-0.588276,-0.102889
34.47,8.947,-0.993282,-0.589217,-0.111669
37.11,8.947,-1.08629,-0.583322,-0.122126
39.74,8.947,-1.214677,-0.571235,-0.13656
42.37,8.947,-1.328998,-0.536503,-0.149412
45,8.947,-1.43371,-0.484343,-0.161184
-5,9.579,0.364006,1.060572,0.038225
-2.368,9.579,0.418141,0.959002,0.04391
0.2632,9.579,0.464679,0.851969,0.048797
2.895,9.579,0.468984,0.728093,0.049249
5.526,9.579,0.416461,0.584372,0.043733
8.158,9.579,0.324694,0.428945,0.034097
10.79,9.579,0.202328,0.265169,0.021247
13.42,9.579,0.054221,0.094943,0.005694
16.05,9.579,-0.120379,-0.081206,-0.012641
18.68,9.579,-0.325817,-0.263586,-0.034215
21.32,9.579,-0.56178,-0.447819,-0.058994
23.95,9.579,-0.780269,-0.593275,-0.081938
26.58,9.579,-0.909948,-0.649365,-0.095556
29.21,9.579,-0.998339,-0.662353,-0.104838
31.84,9.579,-1.099511,-0.67671,-0.115462
34.47,9.579,-1.194694,-0.674592,-0.125457
37.11,9.579,-1.316095,-0.667767,-0.138206
39.74,9.579,-1.476528,-0.649587,-0.155053
42.37,9.579,-1.610379,-0.604626,-0.169109
45,9.579,-1.752233,-0.539215,-0.184006
-5,10.21,0.325277,1.148554,0.032045
-2.368,10.21,0.390074,1.025402,0.038429
0.2632,10.21,0.445602,0.900869,0.043899
2.895,10.21,0.469191,0.768223,0.046223
5.526,10.21,0.422138,0.610728,0.041587
8.158,10.21,0.322825,0.43712,0.031804
10.79,10.21,0.185054,0.253036,0.018231
13.42,10.21,0.01507,0.061156,0.001485
16.05,10.21,-0.188371,-0.137842,-0.018558
18.68,10.21,-0.430168,-0.344088,-0.042379
21.32,10.21,-0.704475,-0.548129,-0.069402
23.95,10.21,-0.942914,-0.695386,-0.092892
26.58,10.21,-1.078621,-0.742749,-0.106262
29.21,10.21,-1.185143,-0.756307,-0.116756
31.84,10.21,-1.306571,-0.770666,-0.128719
