wind_speed,rotor_speed,pitch,tip_speed_ratio,mechanical_power,electrical_power,generator_torque,rotor_thrust,rotor_torque,ct_base,cp_base
3,1.87290767,0.5700208027,9.254785627,516066.9565,491811.2719,2631241.36,285117.9842,2631243.656,0.8164873264,0.4926172706
4,2.498392206,0.314162985,9.275207224,1227500.179,1169807.94,4691725.221,511336.5551,4691722.636,0.8236718129,0.4943208575
5,3.133714736,-0.02306697015,9.322843592,2403123.883,2290176.781,7322982.998,808443.3025,7322983.942,0.833444921,0.4954884006
6,3.774959434,-0.377612452,9.370704624,4157538.157,3962131.771,10517080.98,1173181.443,10517083.86,0.8399047347,0.4960778523
7,4.418130934,-0.700283964,9.405270707,6602635.537,6292309.435,14270854.6,1595718.253,14270859.32,0.8393198193,0.4961243587
8,5.062849222,-1.059063524,9.426144161,9830149.285,9368125.19,18541137.12,2072248.466,18541142.92,0.8345054905,0.4948316819
9,5.675580515,-0.8661926769,9.382093697,13935797.94,13280814.24,23447300.53,2514356.785,23447305.05,0.8000354484,0.4926876293
10,6.157235152,0.7308587259,9.157265649,18353853.67,17491221.83,28465106.39,2710396.505,28465112.64,0.6985543061,0.4730364538
11,7.01721489,2.104174302,9.483344845,22941495.04,21863290.96,31219736.06,2952734.076,31219671,0.628935793,0.4442331935
12,7.061135211,5.383806913,8.765030815,23085213.59,22000140.3,31219738.12,2466699.249,31219845.64,0.4414901871,0.3443162379
13,7.061134156,7.507618835,8.094474849,23085134.64,22000133.95,31219735.13,2182408.952,31219743.53,0.3328256397,0.2708131198
14,7.061135271,9.225786747,7.515594766,23085135.5,22000138.29,31219735.76,1980309.45,31219739.77,0.2604020112,0.2168281511
15,7.061134385,10.72447207,7.011968077,23085176.53,22000130.18,31219737.4,1825214.417,31219799.17,0.2090733692,0.1762896308
16,7.061136141,12.08726016,6.570203085,23085110.29,22000133.4,31219735.15,1700527.735,31219701.83,0.1712028933,0.1452577629
17,7.061115645,13.35794907,6.179775606,23085110.28,22000070.18,31219737.2,1597438.163,31219792.43,0.1424602029,0.12110234
18,7.061089533,14.5602148,5.832314464,23085010.11,21999988.81,31219737.07,1510392.796,31219772.42,0.120146809,0.1020187268
19,7.061073553,15.70983839,5.521170064,23084979.59,21999938.73,31219736.53,1435735.197,31219801.79,0.1025025078,0.08674331947
20,7.061110155,16.81737648,5.24099726,23085008.33,22000053.73,31219735.74,1370980.299,31219678.83,0.08833617054,0.07437164613
21,7.061129197,17.89068627,4.987355615,23085076.53,22000113.12,31219735.93,1314169.38,31219686.87,0.07680333876,0.06424521399
22,7.061144711,18.93476577,4.756688995,23085113.62,22000160.98,31219736.41,1264048.268,31219668.43,0.06731093785,0.05587677334
23,7.061116735,19.95276813,4.546039457,23085117.39,22000071.01,31219736.05,1219846.838,31219797.23,0.05943153924,0.04890079558
24,7.06112456,20.94752088,4.352938284,23085069.21,22000097.99,31219735.63,1180579.461,31219697.48,0.05282507052,0.04303926056
